country_or_region,year,variable,capacity_gw,cap_built,,unit,,,,,,,
Italy,2000,Bioenergy,0.4,,0,GW,,,,,,,
Italy,2000,Clean,17.9,,0,GW,,,,,,,
Italy,2000,Coal,8.67,,0,GW,,,,,,,
Italy,2000,Fossil,64.05,,0,GW,,,,,,,
Italy,2000,Gas,53.35,,0,GW,,,,,,,
Italy,2000,Hydro,16.39,,0,GW,,,,,,,
Italy,2000,Nuclear,,,0,GW,,,,,,53.35,10.67
Italy,2000,Other Fossil,2.03,,0,GW,,,,,,,
Italy,2000,Other Renewables,0.73,,0,GW,,,,,,,0.05
Italy,2000,Solar,0.02,,0,GW,,,,,,,
Italy,2000,Wind,0.36,,0,GW,,,,,,,
Italy,2000,Wind and solar,0.38,,0,GW,,,,,,,
Italy,2001,Bioenergy,0.42,0.02,0.02,GW,,,,,,,
Italy,2001,Clean,18.29,0.39,0.39,GW,,,,,,,
Italy,2001,Coal,8.6,-0.07,0,GW,,,,,,,
Italy,2001,Fossil,64.3,0.25,0.25,GW,,,,,,,
Italy,2001,Gas,53.57,0.22,0.22,GW,,,,,,,
Italy,2001,Hydro,16.46,0.07,0.07,GW,,,,,,,
Italy,2001,Nuclear,,0,0,GW,,,,,,,
Italy,2001,Other Fossil,2.13,0.1,0.1,GW,,,,,,,
Italy,2001,Other Renewables,0.73,0,0,GW,,,,,,,
Italy,2001,Solar,0.02,0,0,GW,,,,,,,
Italy,2001,Wind,0.66,0.3,0.3,GW,,,,,,,
Italy,2001,Wind and solar,0.68,0.3,0.3,GW,,,,,,,
Italy,2002,Bioenergy,0.51,0.09,0.09,GW,,,,,,,
Italy,2002,Clean,18.73,0.44,0.44,GW,,,,,,,
Italy,2002,Coal,8.6,0,0,GW,,,,,,,
Italy,2002,Fossil,64.27,-0.03,0,GW,,,,,,,
Italy,2002,Gas,53.54,-0.03,0,GW,,,,,,,
Italy,2002,Hydro,16.56,0.1,0.1,GW,,,,,,,
Italy,2002,Nuclear,,0,0,GW,,,,,,,
Italy,2002,Other Fossil,2.13,0,0,GW,,,,,,,
Italy,2002,Other Renewables,0.86,0.13,0.13,GW,,,,,,,
Italy,2002,Solar,0.02,0,0,GW,,,,,,,
Italy,2002,Wind,0.78,0.12,0.12,GW,,,,,,,
Italy,2002,Wind and solar,0.8,0.12,0.12,GW,,,,,,,
Italy,2003,Bioenergy,0.64,0.13,0.13,GW,,,,,,,
Italy,2003,Clean,19.17,0.44,0.44,GW,,,,,,,
Italy,2003,Coal,8.6,0,0,GW,,,,,,,
Italy,2003,Fossil,65.51,1.24,1.24,GW,,,,,,,
Italy,2003,Gas,54.78,1.24,1.24,GW,,,,,,,
Italy,2003,Hydro,16.7,0.14,0.14,GW,,,,,,,
Italy,2003,Nuclear,,0,0,GW,,,,,,,
Italy,2003,Other Fossil,2.13,0,0,GW,,,,,,,
Italy,2003,Other Renewables,0.93,0.07,0.07,GW,,,,,,,
Italy,2003,Solar,0.03,0.01,0.01,GW,,,,,,,
Italy,2003,Wind,0.87,0.09,0.09,GW,,,,,,,
Italy,2003,Wind and solar,0.9,0.1,0.1,GW,,,,,,,
Italy,2004,Bioenergy,0.65,0.01,0.01,GW,,,,,,,
Italy,2004,Clean,19.47,0.3,0.3,GW,,,,,,,
Italy,2004,Coal,8.35,-0.25,0,GW,,,,,,,
Italy,2004,Fossil,68.1,2.59,2.59,GW,,,,,,,
Italy,2004,Gas,57.62,2.84,2.84,GW,,,,,,,
Italy,2004,Hydro,16.79,0.09,0.09,GW,,,,,,,
Italy,2004,Nuclear,,0,0,GW,,,,,,,
Italy,2004,Other Fossil,2.13,0,0,GW,,,,,,,
Italy,2004,Other Renewables,0.87,-0.06,0,GW,,,,,,,
Italy,2004,Solar,0.03,0,0,GW,,,,,,,
Italy,2004,Wind,1.13,0.26,0.26,GW,,,,,,,
Italy,2004,Wind and solar,1.16,0.26,0.26,GW,,,,,,,
Italy,2005,Bioenergy,0.64,-0.01,0,GW,,,,,,,
Italy,2005,Clean,20.24,0.77,0.77,GW,,,,,,,
Italy,2005,Coal,8.7,0.35,0.35,GW,,,,,,,
Italy,2005,Fossil,71.7,3.6,3.6,GW,,,,,,,
Italy,2005,Gas,60.79,3.17,3.17,GW,,,,,,,
Italy,2005,Hydro,17.04,0.25,0.25,GW,,,,,,,
Italy,2005,Nuclear,,0,0,GW,,,,,,,
Italy,2005,Other Fossil,2.21,0.08,0.08,GW,,,,,,,
Italy,2005,Other Renewables,0.9,0.03,0.03,GW,,,,,,,
Italy,2005,Solar,0.03,0,0,GW,,,,,,,
Italy,2005,Wind,1.63,0.5,0.5,GW,,,,,,,
Italy,2005,Wind and solar,1.66,0.5,0.5,GW,,,,,,,
Italy,2006,Bioenergy,0.65,0.01,0.01,GW,,,,,,,
Italy,2006,Clean,20.63,0.39,0.39,GW,,,,,,,
Italy,2006,Coal,8.7,0,0,GW,,,,,,,
Italy,2006,Fossil,75.22,3.52,3.52,GW,,,,,,,
Italy,2006,Gas,64.31,3.52,3.52,GW,,,,,,,
Italy,2006,Hydro,17.11,0.07,0.07,GW,,,,,,,
Italy,2006,Nuclear,,0,0,GW,,,,,,,
Italy,2006,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2006,Other Renewables,0.92,0.02,0.02,GW,,,,,,,
Italy,2006,Solar,0.05,0.02,0.02,GW,,,,,,,
Italy,2006,Wind,1.9,0.27,0.27,GW,,,,,,,
Italy,2006,Wind and solar,1.95,0.29,0.29,GW,,,,,,,
Italy,2007,Bioenergy,0.69,0.04,0.04,GW,,,,,,,
Italy,2007,Clean,21.6,0.97,0.97,GW,,,,,,,
Italy,2007,Coal,8.7,0,0,GW,,,,,,,
Italy,2007,Fossil,78.37,3.15,3.15,GW,,,,,,,
Italy,2007,Gas,67.46,3.15,3.15,GW,,,,,,,
Italy,2007,Hydro,17.16,0.05,0.05,GW,,,,,,,
Italy,2007,Nuclear,,0,0,GW,,,,,,,
Italy,2007,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2007,Other Renewables,0.94,0.02,0.02,GW,,,,,,,
Italy,2007,Solar,0.11,0.06,0.06,GW,,,,,,,
Italy,2007,Wind,2.7,0.8,0.8,GW,,,,,,,
Italy,2007,Wind and solar,2.81,0.86,0.86,GW,,,,,,,
Italy,2008,Bioenergy,0.88,0.19,0.19,GW,,,,,,,
Italy,2008,Clean,23.16,1.56,1.56,GW,,,,,,,
Italy,2008,Coal,8.06,-0.64,0,GW,,,,,,,
Italy,2008,Fossil,81.22,2.85,2.85,GW,,,,,,,
Italy,2008,Gas,70.95,3.49,3.49,GW,,,,,,,
Italy,2008,Hydro,17.32,0.16,0.16,GW,,,,,,,
Italy,2008,Nuclear,,0,0,GW,,,,,,,
Italy,2008,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2008,Other Renewables,0.95,0.01,0.01,GW,,,,,,,
Italy,2008,Solar,0.48,0.37,0.37,GW,,,,,,,
Italy,2008,Wind,3.53,0.83,0.83,GW,,,,,,,
Italy,2008,Wind and solar,4.01,1.2,1.2,GW,,,,,,,
Italy,2009,Bioenergy,1.17,0.29,0.29,GW,,,,,,,
Italy,2009,Clean,25.77,2.61,2.61,GW,,,,,,,
Italy,2009,Coal,8.72,0.66,0.66,GW,,,,,,,
Italy,2009,Fossil,82.07,0.85,0.85,GW,,,,,,,
Italy,2009,Gas,71.14,0.19,0.19,GW,,,,,,,
Italy,2009,Hydro,17.41,0.09,0.09,GW,,,,,,,
Italy,2009,Nuclear,,0,0,GW,,,,,,,
Italy,2009,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2009,Other Renewables,1.05,0.1,0.1,GW,,,,,,,
Italy,2009,Solar,1.26,0.78,0.78,GW,,,,,,,
Italy,2009,Wind,4.88,1.35,1.35,GW,,,,,,,
Italy,2009,Wind and solar,6.14,2.13,2.13,GW,,,,,,,
Italy,2010,Bioenergy,1.47,0.3,0.3,GW,,,,,,,
Italy,2010,Clean,29.51,3.74,3.74,GW,,,,,,,
Italy,2010,Coal,10.04,1.32,1.32,GW,,,,,,,
Italy,2010,Fossil,84.71,2.64,2.64,GW,,,,,,,
Italy,2010,Gas,72.46,1.32,1.32,GW,,,,,,,
Italy,2010,Hydro,17.56,0.15,0.15,GW,,,,,,,
Italy,2010,Nuclear,,0,0,GW,,,,,,,
Italy,2010,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2010,Other Renewables,1.09,0.04,0.04,GW,,,,,,,
Italy,2010,Solar,3.6,2.34,2.34,GW,,,,,,,
Italy,2010,Wind,5.79,0.91,0.91,GW,,,,,,,
Italy,2010,Wind and solar,9.39,3.25,3.25,GW,,,,,,,
Italy,2011,Bioenergy,1.89,0.42,0.42,GW,,,,,,,
Italy,2011,Clean,40.73,11.22,11.22,GW,,,,,,,
Italy,2011,Coal,10.04,0,0,GW,,,,,,,
Italy,2011,Fossil,85.58,0.87,0.87,GW,,,,,,,
Italy,2011,Gas,73.33,0.87,0.87,GW,,,,,,,
Italy,2011,Hydro,17.78,0.22,0.22,GW,,,,,,,
Italy,2011,Nuclear,,0,0,GW,,,,,,,
Italy,2011,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2011,Other Renewables,1.1,0.01,0.01,GW,,,,,,,
Italy,2011,Solar,13.04,9.44,9.44,GW,,,,,,,
Italy,2011,Wind,6.92,1.13,1.13,GW,,,,,,,
Italy,2011,Wind and solar,19.96,10.57,10.57,GW,,,,,,,
Italy,2012,Bioenergy,2.8,0.91,0.91,GW,,,,,,,
Italy,2012,Clean,46.58,5.85,5.85,GW,,,,,,,
Italy,2012,Coal,10.04,0,0,GW,,,,,,,
Italy,2012,Fossil,85.47,-0.11,0,GW,,,,,,,
Italy,2012,Gas,73.22,-0.11,0,GW,,,,,,,
Italy,2012,Hydro,17.92,0.14,0.14,GW,,,,,,,
Italy,2012,Nuclear,,0,0,GW,,,,,,,
Italy,2012,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2012,Other Renewables,1.1,0,0,GW,,,,,,,
Italy,2012,Solar,16.66,3.62,3.62,GW,,,,,,,
Italy,2012,Wind,8.1,1.18,1.18,GW,,,,,,,
Italy,2012,Wind and solar,24.76,4.8,4.8,GW,,,,,,,
Italy,2013,Bioenergy,2.93,0.13,0.13,GW,,,,,,,
Italy,2013,Clean,48.7,2.12,2.12,GW,,,,,,,
Italy,2013,Coal,10.04,0,0,GW,,,,,,,
Italy,2013,Fossil,83.2,-2.27,0,GW,,,,,,,
Italy,2013,Gas,70.95,-2.27,0,GW,,,,,,,
Italy,2013,Hydro,18.05,0.13,0.13,GW,,,,,,,
Italy,2013,Nuclear,,0,0,GW,,,,,,,
Italy,2013,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2013,Other Renewables,1.15,0.05,0.05,GW,,,,,,,
Italy,2013,Solar,18.03,1.37,1.37,GW,,,,,,,
Italy,2013,Wind,8.54,0.44,0.44,GW,,,,,,,
Italy,2013,Wind and solar,26.57,1.81,1.81,GW,,,,,,,
Italy,2014,Bioenergy,2.95,0.02,0.02,GW,,,,,,,
Italy,2014,Clean,49.37,0.67,0.67,GW,,,,,,,
Italy,2014,Coal,9.9,-0.14,0,GW,,,,,,,
Italy,2014,Fossil,79.59,-3.61,0,GW,,,,,,,
Italy,2014,Gas,67.48,-3.47,0,GW,,,,,,,
Italy,2014,Hydro,18.12,0.07,0.07,GW,,,,,,,
Italy,2014,Nuclear,,0,0,GW,,,,,,,
Italy,2014,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2014,Other Renewables,1.18,0.03,0.03,GW,,,,,,,
Italy,2014,Solar,18.44,0.41,0.41,GW,,,,,,,
Italy,2014,Wind,8.68,0.14,0.14,GW,,,,,,,
Italy,2014,Wind and solar,27.12,0.55,0.55,GW,,,,,,,
Italy,2015,Bioenergy,2.95,0,0,GW,,,,,,,
Italy,2015,Clean,50.25,0.88,0.88,GW,,,,,,,
Italy,2015,Coal,9.76,-0.14,0,GW,,,,,,,
Italy,2015,Fossil,73.78,-5.81,0,GW,,,,,,,
Italy,2015,Gas,61.81,-5.67,0,GW,,,,,,,
Italy,2015,Hydro,18.24,0.12,0.12,GW,,,,,,,
Italy,2015,Nuclear,,0,0,GW,,,,,,,
Italy,2015,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2015,Other Renewables,1.18,0,0,GW,,,,,,,
Italy,2015,Solar,18.74,0.3,0.3,GW,,,,,,,
Italy,2015,Wind,9.14,0.46,0.46,GW,,,,,,,
Italy,2015,Wind and solar,27.88,0.76,0.76,GW,,,,,,,
Italy,2016,Bioenergy,3.03,0.08,0.08,GW,,,,,,,
Italy,2016,Clean,51.03,0.78,0.78,GW,,,,,,,
Italy,2016,Coal,8.78,-0.98,0,GW,,,,,,,
Italy,2016,Fossil,69.21,-4.57,0,GW,,,,,,,
Italy,2016,Gas,58.22,-3.59,0,GW,,,,,,,
Italy,2016,Hydro,18.32,0.08,0.08,GW,,,,,,,
Italy,2016,Nuclear,,0,0,GW,,,,,,,
Italy,2016,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2016,Other Renewables,1.18,0,0,GW,,,,,,,
Italy,2016,Solar,19.12,0.38,0.38,GW,,,,,,,
Italy,2016,Wind,9.38,0.24,0.24,GW,,,,,,,
Italy,2016,Wind and solar,28.5,0.62,0.62,GW,,,,,,,
Italy,2017,Bioenergy,3.04,0.01,0.01,GW,,,,,,,
Italy,2017,Clean,51.95,0.92,0.92,GW,,,,,,,
Italy,2017,Coal,8.63,-0.15,0,GW,,,,,,,
Italy,2017,Fossil,68.24,-0.97,0,GW,,,,,,,
Italy,2017,Gas,57.4,-0.82,0,GW,,,,,,,
Italy,2017,Hydro,18.49,0.17,0.17,GW,,,,,,,
Italy,2017,Nuclear,,0,0,GW,,,,,,,
Italy,2017,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2017,Other Renewables,1.18,0,0,GW,,,,,,,
Italy,2017,Solar,19.5,0.38,0.38,GW,,,,,,,
Italy,2017,Wind,9.74,0.36,0.36,GW,,,,,,,
Italy,2017,Wind and solar,29.24,0.74,0.74,GW,,,,,,,
Italy,2018,Bioenergy,3.08,0.04,0.04,GW,,,,,,,
Italy,2018,Clean,52.97,1.02,1.02,GW,,,,,,,
Italy,2018,Coal,8.63,0,0,GW,,,,,,,
Italy,2018,Fossil,68.19,-0.05,0,GW,,,,,,,
Italy,2018,Gas,57.35,-0.05,0,GW,,,,,,,
Italy,2018,Hydro,18.56,0.07,0.07,GW,,,,,,,
Italy,2018,Nuclear,,0,0,GW,,,,,,,
Italy,2018,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2018,Other Renewables,1.18,0,0,GW,,,,,,,
Italy,2018,Solar,19.92,0.42,0.42,GW,,,,,,,
Italy,2018,Wind,10.23,0.49,0.49,GW,,,,,,,
Italy,2018,Wind and solar,30.15,0.91,0.91,GW,,,,,,,
Italy,2019,Bioenergy,3.06,-0.02,0,GW,,,,,,,
Italy,2019,Clean,54.12,1.15,1.15,GW,,,,,,,
Italy,2019,Coal,8.48,-0.15,0,GW,,,,,,,
Italy,2019,Fossil,68.1,-0.09,0,GW,,,,,,,
Italy,2019,Gas,57.41,0.06,0.06,GW,,,,,,,
Italy,2019,Hydro,18.6,0.04,0.04,GW,,,,,,,
Italy,2019,Nuclear,,0,0,GW,,,,,,,
Italy,2019,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2019,Other Renewables,1.16,-0.02,0,GW,,,,,,,
Italy,2019,Solar,20.62,0.7,0.7,GW,,,,,,,
Italy,2019,Wind,10.68,0.45,0.45,GW,,,,,,,
Italy,2019,Wind and solar,31.3,1.15,1.15,GW,,,,,,,
Italy,2020,Bioenergy,3.04,-0.02,0,GW,,,,,,,
Italy,2020,Clean,55.19,1.07,1.07,GW,,,,,,,
Italy,2020,Coal,7.1,-1.38,0,GW,,,,,,,
Italy,2020,Fossil,65.55,-2.55,0,GW,,,,,,,
Italy,2020,Gas,56.24,-1.17,0,GW,,,,,,,
Italy,2020,Hydro,18.75,0.15,0.15,GW,,,,,,,
Italy,2020,Nuclear,,0,0,GW,,,,,,,
Italy,2020,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2020,Other Renewables,1.17,0.01,0.01,GW,,,,,,,
Italy,2020,Solar,21.36,0.74,0.74,GW,,,,,,,
Italy,2020,Wind,10.87,0.19,0.19,GW,,,,,,,
Italy,2020,Wind and solar,32.23,0.93,0.93,GW,,,,,,,
Italy,2021,Bioenergy,3,-0.04,0,GW,,,,,,,
Italy,2021,Clean,56.54,1.35,1.35,GW,,,,,,,
Italy,2021,Coal,6.17,-0.93,0,GW,,,,,,,
Italy,2021,Fossil,64.01,-1.54,0,GW,,,,,,,
Italy,2021,Gas,55.63,-0.61,0,GW,,,,,,,
Italy,2021,Hydro,18.81,0.06,0.06,GW,,,,,,,
Italy,2021,Nuclear,,0,0,GW,,,,,,,
Italy,2021,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2021,Other Renewables,1.19,0.02,0.02,GW,,,,,,,
Italy,2021,Solar,22.29,0.93,0.93,GW,,,,,,,
Italy,2021,Wind,11.25,0.38,0.38,GW,,,,,,,
Italy,2021,Wind and solar,33.54,1.31,1.31,GW,,,,,,,
Italy,2022,Bioenergy,3,0,0,GW,,,,,,,
Italy,2022,Clean,59.48,2.94,2.94,GW,,,,,,,
Italy,2022,Coal,6.17,0,0,GW,,,,,,,
Italy,2022,Fossil,64.7,0.69,0.69,GW,,,,,,,
Italy,2022,Gas,56.32,0.69,0.69,GW,,,,,,,
Italy,2022,Hydro,18.93,0.12,0.12,GW,,,,,,,
Italy,2022,Nuclear,,0,0,GW,,,,,,,
Italy,2022,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2022,Other Renewables,1.17,-0.02,0,GW,,,,,,,
Italy,2022,Solar,24.56,2.27,2.27,GW,,,,,,,
Italy,2022,Wind,11.82,0.57,0.57,GW,,,,,,,
Italy,2022,Wind and solar,36.38,2.84,2.84,GW,,,,,,,
Italy,2023,Bioenergy,2.98,-0.02,0,GW,,,,,,,
Italy,2023,Clean,64.78,5.3,5.3,GW,,,,,,,
Italy,2023,Coal,5.53,-0.64,0,GW,,,,,,,
Italy,2023,Fossil,64.91,0.21,0.21,GW,,,,,,,
Italy,2023,Gas,57.17,0.85,0.85,GW,,,,,,,
Italy,2023,Hydro,18.94,0.01,0.01,GW,,,,,,,
Italy,2023,Nuclear,,0,0,GW,,,,,,,
Italy,2023,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2023,Other Renewables,1.19,0.02,0.02,GW,,,,,,,
Italy,2023,Solar,29.36,4.8,4.8,GW,,,,,,,
Italy,2023,Wind,12.31,0.49,0.49,GW,,,,,,,
Italy,2023,Wind and solar,41.67,5.29,5.29,GW,,,,,,,
Italy,2024,Bioenergy,2.95,-0.03,0,GW,,,,,,,
Italy,2024,Clean,72.11,7.33,7.33,GW,,,,,,,
Italy,2024,Coal,5.19,-0.34,0,GW,,,,,,,
Italy,2024,Fossil,64.6,-0.31,0,GW,,,,,,,
Italy,2024,Gas,57.2,0.03,0.03,GW,,,,,,,
Italy,2024,Hydro,18.97,0.03,0.03,GW,,,,,,,
Italy,2024,Nuclear,,0,0,GW,,,,,,,
Italy,2024,Other Fossil,2.21,0,0,GW,,,,,,,
Italy,2024,Other Renewables,1.19,0,0,GW,,,,,,,
Italy,2024,Solar,36.01,6.65,6.65,GW,,,,,,,
Italy,2024,Wind,12.99,0.68,0.68,GW,,,,,,,
Italy,2024,Wind and solar,49,7.33,7.33,GW,,,,,,,
